Number_entering_buses,Stop_ID,Binned_time_x,y_pred,y_prob,Score,stop_lat,stop_lon,geometry,NIMI_left,Time,index_right,NIMI_right,NIMI
11,7820009-1,2025-12-11 20:00:00,0,0.123035304,1.3533883467316628,58.34797032,26.71703945,POINT (26.71703945 58.34797032),Ropka,20:00:00,1.0,Ropka,
3,7820010-1,2025-12-11 06:00:00,0,0.12138633,0.3641589805483818,58.37807643,26.75176816,POINT (26.75176816 58.37807643),Annelinna,06:00:00,14.0,Annelinna,
7,7820010-1,2025-12-11 08:00:00,0,0.121463366,0.8502435609698296,58.37807643,26.75176816,POINT (26.75176816 58.37807643),Annelinna,08:00:00,14.0,Annelinna,
8,7820010-1,2025-12-11 10:00:00,0,0.12194568,0.9755654335021973,58.37807643,26.75176816,POINT (26.75176816 58.37807643),Annelinna,10:00:00,14.0,Annelinna,
8,7820010-1,2025-12-11 12:00:00,0,0.1222552,0.9780415892601013,58.37807643,26.75176816,POINT (26.75176816 58.37807643),Annelinna,12:00:00,14.0,Annelinna,
7,7820010-1,2025-12-11 14:00:00,0,0.12409028,0.868631936609745,58.37807643,26.75176816,POINT (26.75176816 58.37807643),Annelinna,14:00:00,14.0,Annelinna,
8,7820010-1,2025-12-11 16:00:00,0,0.12409028,0.99272221326828,58.37807643,26.75176816,POINT (26.75176816 58.37807643),Annelinna,16:00:00,14.0,Annelinna,
6,7820010-1,2025-12-11 18:00:00,0,0.121174835,0.7270490080118179,58.37807643,26.75176816,POINT (26.75176816 58.37807643),Annelinna,18:00:00,14.0,Annelinna,
5,7820010-1,2025-12-11 20:00:00,0,0.12111117,0.605555847287178,58.37807643,26.75176816,POINT (26.75176816 58.37807643),Annelinna,20:00:00,14.0,Annelinna,
5,7820010-1,2025-12-11 22:00:00,0,0.12111117,0.605555847287178,58.37807643,26.75176816,POINT (26.75176816 58.37807643),Annelinna,22:00:00,14.0,Annelinna,
2,7820010-1,2025-12-12 00:00:00,0,0.12111117,0.24222233891487122,58.37807643,26.75176816,POINT (26.75176816 58.37807643),Annelinna,00:00:00,14.0,Annelinna,
4,7820011-1,2025-12-11 06:00:00,0,0.12138633,0.4855453073978424,58.37711352,26.75074771,POINT (26.75074771 58.37711352),Annelinna,06:00:00,14.0,Annelinna,
8,7820011-1,2025-12-11 08:00:00,0,0.12693024,1.01544189453125,58.37711352,26.75074771,POINT (26.75074771 58.37711352),Annelinna,08:00:00,14.0,Annelinna,
8,7820011-1,2025-12-11 10:00:00,0,0.12632559,1.010604739189148,58.37711352,26.75074771,POINT (26.75074771 58.37711352),Annelinna,10:00:00,14.0,Annelinna,
7,7820011-1,2025-12-11 12:00:00,0,0.12696797,0.8887757658958435,58.37711352,26.75074771,POINT (26.75074771 58.37711352),Annelinna,12:00:00,14.0,Annelinna,
8,7820011-1,2025-12-11 14:00:00,1,0.13295273,1.0636218786239624,58.37711352,26.75074771,POINT (26.75074771 58.37711352),Annelinna,14:00:00,14.0,Annelinna,
7,7820011-1,2025-12-11 16:00:00,0,0.12621121,0.8834784775972366,58.37711352,26.75074771,POINT (26.75074771 58.37711352),Annelinna,16:00:00,14.0,Annelinna,
