Stop_ID,stop_lat,stop_lon,geometry,NIMI
7820314-1,58.34315404,26.72352802,POINT (26.72352802 58.34315404),Ropka tööstuse
7820117-1,58.40633743,26.70826104,POINT (26.70826104 58.40633743),Kvissentali
7820024-1,58.38360817,26.69132453,POINT (26.69132453 58.38360817),Tähtvere
7820162-1,58.38907343,26.73021884,POINT (26.73021884 58.38907343),Raadi-Kruusamäe
7820120-1,58.36750857,26.71968342,POINT (26.71968342 58.36750857),Vaksali
7820216-1,58.36986857,26.71612224,POINT (26.71612224 58.36986857),Vaksali
7820325-1,58.34458112,26.71540407,POINT (26.71540407 58.34458112),Ropka tööstuse
7820136-1,58.34604336,26.78273368,POINT (26.78273368 58.34604336),Ihaste
7820085-1,58.37742337,26.72755624,POINT (26.72755624 58.37742337),Kesklinna
7820048-1,58.34493408,26.77937065,POINT (26.77937065 58.34493408),Ihaste
7820104-1,58.34712456,26.77329275,POINT (26.77329275 58.34712456),Ihaste
7820205-1,58.35464445,26.70747193,POINT (26.70747193 58.35464445),Tammelinna
7820112-1,58.36052133,26.71297705,POINT (26.71297705 58.36052133),Tammelinna
7820262-1,58.36402713,26.70658214,POINT (26.70658214 58.36402713),Tammelinna
7820080-1,58.34924006,26.7874891,POINT (26.7874891 58.34924006),Ihaste
7820057-1,58.37056892,26.73946996,POINT (26.73946996 58.37056892),Karlova
7820035-1,58.35338124,26.6810383,POINT (26.6810383 58.35338124),Ränilinna
7820264-1,58.35415032,26.69707063,POINT (26.69707063 58.35415032),Tammelinna
7820220-1,58.37296117,26.72287072,POINT (26.72287072 58.37296117),Kesklinna
7820089-1,58.37751515,26.7285696,POINT (26.7285696 58.37751515),Kesklinna
7820238-1,58.36910319,26.74017165,POINT (26.74017165 58.36910319),Karlova
7820158-1,58.35311862,26.76651814,POINT (26.76651814 58.35311862),Ihaste
7820250-1,58.35774316,26.71396835,POINT (26.71396835 58.35774316),Tammelinna
7820261-1,58.36357694,26.7070653,POINT (26.7070653 58.36357694),Tammelinna
7820111-1,58.36032883,26.71352127,POINT (26.71352127 58.36032883),Tammelinna
7820204-1,58.35467418,26.70708405,POINT (26.70708405 58.35467418),Tammelinna
7820137-1,58.34641112,26.7835032,POINT (26.7835032 58.34641112),Ihaste
7820139-1,58.35881504,26.67327622,POINT (26.67327622 58.35881504),Ränilinna
7820049-1,58.3448756,26.77958387,POINT (26.77958387 58.3448756),Ihaste
7820060-1,58.365848,26.70412703,POINT (26.70412703 58.365848),Tammelinna
7820103-1,58.34666721,26.77393533,POINT (26.77393533 58.34666721),Ihaste
7820251-1,58.35767356,26.71364991,POINT (26.71364991 58.35767356),Tammelinna
7820157-1,58.35340275,26.76619969,POINT (26.76619969 58.35340275),Ihaste
7820055-1,58.36116965,26.75974837,POINT (26.75974837 58.36116965),Annelinna
7820081-1,58.34930632,26.78771897,POINT (26.78771897 58.34930632),Ihaste
7820021-1,58.37566974,26.73304577,POINT (26.73304577 58.37566974),Kesklinna
7820083-1,58.36972457,26.70744613,POINT (26.70744613 58.36972457),Tammelinna
7820139-3,58.35891162,26.67243857,POINT (26.67243857 58.35891162),Ränilinna
7820007-1,58.37323195,26.73683422,POINT (26.73683422 58.37323195),Karlova
7820188-1,58.36833346,26.70338666,POINT (26.70338666 58.36833346),Tammelinna
7820326-1,58.36607787,26.67416136,POINT (26.67416136 58.36607787),Maarjamõisa
7820343-1,58.36319191,26.67509434,POINT (26.67509434 58.36319191),Ränilinna
7820304-1,58.37135629,26.69447958,POINT (26.69447958 58.37135629),Veeriku
7820123-1,58.3595404,26.77785166,POINT (26.77785166 58.3595404),Ihaste
7800070-1,58.36617113,26.67507049,POINT (26.67507049 58.36617113),Maarjamõisa
7820051-1,58.35888637,26.7828262,POINT (26.7828262 58.35888637),Ihaste
7820019-1,58.36818677,26.6832783,POINT (26.6832783 58.36818677),Maarjamõisa
7820122-1,58.35935535,26.77778613,POINT (26.77778613 58.35935535),Ihaste
7820303-1,58.37124468,26.69375987,POINT (26.69375987 58.37124468),Veeriku
7820018-1,58.36817908,26.68276659,POINT (26.68276659 58.36817908),Veeriku
7820142-1,58.36936733,26.69824015,POINT (26.69824015 58.36936733),Maarjamõisa
