Stop_ID,Pre_2019,density,NIMI
7820249-3,True,14,Kesklinna
7820139-3,True,2,Ränilinna
7820088-2,True,12,Kesklinna
7801229-1,True,1,Raadi-Kruusamäe
7820208-2,True,2,Vaksali
,True,0,Ropka tööstuse
7801276-1,True,3,Raadi-Kruusamäe
7820337-1,True,0,Raadi-Kruusamäe
7820334-1,True,1,Raadi-Kruusamäe
7801275-1,True,2,Raadi-Kruusamäe
7820335-1,True,2,Raadi-Kruusamäe
7820271-1,True,12,Kesklinna
7820341-1,True,1,Tähtvere
7820341-2,True,1,Tähtvere
7820340-1,True,2,Ränilinna
7820343-1,True,2,Ränilinna
7800431-1,True,0,Ränilinna
,False,0,Ropka tööstuse
7820088-1,False,11,Kesklinna
7820063-1,False,2,Annelinna
7820165-1,False,1,Annelinna
7820014-1,False,3,Annelinna
7820064-1,False,2,Annelinna
7820028-1,False,2,Annelinna
7820068-1,False,1,Annelinna
7820187-1,False,2,Ülejõe
7820020-1,False,6,Ülejõe
7820085-2,False,12,Kesklinna
7820177-1,False,2,Kesklinna
7820036-1,False,4,Ränilinna
7820186-1,False,1,Ülejõe
7820027-1,False,2,Annelinna
7820015-1,False,3,Annelinna
7820155-1,False,1,Annelinna
7820219-1,False,4,Kesklinna
7820059-1,False,4,Tammelinna
7820218-1,False,1,Tammelinna
7820201-1,False,1,Tammelinna
7820178-1,False,2,Vaksali
7820243-1,False,2,Tammelinna
7820061-1,False,4,Tammelinna
7820156-1,False,1,Annelinna
7820217-1,False,1,Maarjamõisa
7820277-1,False,5,Ränilinna
7820242-1,False,2,Tammelinna
7820126-1,False,1,Tammelinna
7820067-1,False,1,Annelinna
7820200-1,False,1,Maarjamõisa
7820276-1,False,5,Ränilinna
7820164-1,False,3,Ülejõe
7820161-1,False,5,Ülejõe
7820076-1,False,2,Ülejõe
7820174-1,False,2,Ülejõe
7820255-1,False,2,Annelinna
7820095-1,False,1,Annelinna
7820013-1,False,1,Annelinna
7820319-1,False,2,Ropka tööstuse
7820008-1,False,1,Ropka
7820072-1,False,1,Ropka tööstuse
7820003-1,False,3,Ropka
7820062-1,False,4,Tammelinna
7820130-1,False,2,Veeriku
7820070-1,False,3,Veeriku
7820232-1,False,3,Kvissentali
7820223-1,False,2,Ülejõe
7820078-1,False,2,Karlova
7820295-1,False,1,Vaksali
7820045-1,False,5,Tähtvere
7820184-1,False,3,Veeriku
7820318-1,False,3,Ropka tööstuse
7820330-1,False,1,Ihaste
7820012-1,False,1,Annelinna
7820094-1,False,1,Jaamamõisa
7820257-1,False,2,Jaamamõisa
7820233-1,False,3,Raadi-Kruusamäe
7820321-1,False,1,Ropka tööstuse
7820066-1,False,2,Ropka
7820141-1,False,5,Tammelinna
7820170-1,False,2,Veeriku
7820208-1,False,3,Vaksali
7820169-1,False,2,Veeriku
7820140-1,False,4,Maarjamõisa
7820002-1,False,3,Ropka
7820315-1,False,1,Ropka tööstuse
7820322-1,False,1,Ropka tööstuse
7820189-1,False,4,Raadi-Kruusamäe
7820198-1,False,1,Annelinna
7820333-1,False,0,Annelinna
7820323-1,False,1,Ropka tööstuse
7820317-1,False,2,Ropka tööstuse
7820131-1,False,1,Veeriku
7820284-1,False,3,Maarjamõisa
7820073-1,False,1,Ropka
7820009-1,False,1,Ropka
7820316-1,False,2,Ropka
7820272-1,False,3,Veeriku
7820004-1,False,1,Raadi-Kruusamäe
7820079-1,False,1,Vaksali
7820065-1,False,3,Ropka
7820294-1,False,1,Kvissentali
7820116-1,False,1,Kvissentali
7820180-1,False,5,Ülejõe
7820324-1,False,1,Ropka tööstuse
7820331-1,False,3,Ihaste
7820025-1,False,3,Tähtvere
7820179-1,False,5,Raadi-Kruusamäe
7820224-1,False,2,Raadi-Kruusamäe
7820283-1,False,3,Tammelinna
7820273-1,False,3,Veeriku
7820075-1,False,1,Raadi-Kruusamäe
7820314-1,False,1,Ropka tööstuse
7820117-1,False,2,Kvissentali
7820024-1,False,2,Tähtvere
7820162-1,False,5,Raadi-Kruusamäe
7820120-1,False,2,Vaksali
7820216-1,False,2,Vaksali
7820325-1,False,3,Ropka tööstuse
7820136-1,False,3,Ihaste
7820085-1,False,12,Kesklinna
7820048-1,False,3,Ihaste
7820104-1,False,1,Ihaste
7820205-1,False,5,Tammelinna
7820112-1,False,1,Tammelinna
7820262-1,False,2,Tammelinna
7820080-1,False,1,Ihaste
7820057-1,False,3,Karlova
7820035-1,False,4,Ränilinna
7820264-1,False,1,Tammelinna
7820220-1,False,4,Kesklinna
7820089-1,False,13,Kesklinna
7820238-1,False,4,Karlova
7820158-1,False,3,Ihaste
7820250-1,False,2,Tammelinna
7820261-1,False,1,Tammelinna
7820111-1,False,3,Tammelinna
7820204-1,False,5,Tammelinna
7820137-1,False,3,Ihaste
7820139-1,False,2,Ränilinna
7820049-1,False,3,Ihaste
7820060-1,False,5,Tammelinna
7820103-1,False,1,Ihaste
7820251-1,False,2,Tammelinna
7820157-1,False,3,Ihaste
7820055-1,False,1,Annelinna
7820081-1,False,1,Ihaste
7820021-1,False,7,Kesklinna
7820083-1,False,2,Tammelinna
7820139-3,False,2,Ränilinna
7820007-1,False,1,Karlova
7820188-1,False,7,Tammelinna
7820326-1,False,1,Maarjamõisa
7820343-1,False,2,Ränilinna
7820304-1,False,4,Veeriku
7820123-1,False,2,Ihaste
7800070-1,False,1,Maarjamõisa
7820051-1,False,3,Ihaste
7820019-1,False,1,Maarjamõisa
7820122-1,False,2,Ihaste
7820303-1,False,5,Veeriku
7820018-1,False,1,Veeriku
7820142-1,False,3,Maarjamõisa
7820143-1,False,6,Maarjamõisa
7820210-1,False,4,Veeriku
7820344-1,False,2,Ränilinna
7820160-1,False,2,Ihaste
7820159-1,False,2,Ihaste
7820227-1,False,1,Annelinna
7820016-1,False,2,Annelinna
7820087-1,False,3,Annelinna
7820248-1,False,15,Kesklinna
7820293-1,False,13,Kesklinna
7820196-1,False,6,Kesklinna
7820352-1,False,3,Tähtvere
7820176-1,False,8,Kesklinna
7820086-1,False,3,Annelinna
7801272-1,False,2,Ihaste
7820289-1,False,7,Kesklinna
7820311-1,False,1,Ihaste
7820175-1,False,8,Kesklinna
7820269-1,False,3,Veeriku
7820347-1,False,2,Supilinna
7820249-1,False,15,Kesklinna
7820166-1,False,1,Annelinna
7800528-1,False,1,Ihaste
7820107-1,False,7,Supilinna
7820362-1,False,1,Veeriku
7820287-1,False,3,Tähtvere
7820360-1,False,3,Supilinna
7820306-1,False,1,Ihaste
7820199-1,False,2,Annelinna
7820288-1,False,3,Tähtvere
7820270-1,False,3,Veeriku
7820197-1,False,6,Kesklinna
7820082-1,False,1,Veeriku
7820017-1,False,2,Annelinna
7801271-1,False,1,Ihaste
7820348-1,False,1,Veeriku
7820041-1,False,4,Supilinna
7820361-1,False,1,Veeriku
7820350-1,False,6,Supilinna
7820310-1,False,1,Ihaste
7820328-1,False,3,Ülejõe
7820071-1,False,4,Veeriku
7820069-1,False,3,Veeriku
