Stop_ID,Pre_2019
7820279-1,True
7820181-1,True
7820153-1,True
7820192-1,True
7820223-1,True
7820209-1,True
7820117-1,True
7820038-1,True
7820090-1,True
7820019-1,True
7820304-1,True
7820058-1,True
7820232-1,True
7820180-1,True
7820303-1,True
7820110-1,True
7820116-1,True
7820172-1,True
7820184-1,True
7820273-1,True
7820096-1,True
7820190-1,True
7820077-1,True
7820314-1,True
7820253-1,True
7820073-1,True
7820323-1,True
7820129-1,True
7820016-1,True
7820050-1,True
7820053-1,True
7820185-1,True
7800420-1,True
7820298-1,True
7820235-1,True
7800528-1,True
7820297-1,True
7820236-1,True
7820206-1,True
7820127-1,True
7820282-1,True
7820188-1,True
7820119-1,True
7820239-1,True
7820098-1,True
7820101-1,True
7820225-1,True
7820229-2,True
7820102-2,True
7820099-1,True
7820167-1,True
7820017-1,True
7820150-1,True
7820283-1,True
7820294-1,True
7820018-1,True
7820210-1,True
7820070-1,True
7820272-1,True
7820321-1,True
7820083-1,True
7820100-1,True
7820102-1,True
7820215-1,True
7820259-1,True
7820042-1,True
7820107-1,True
7820313-1,True
7820287-1,True
7820318-1,True
7820009-1,True
7820154-1,True
7820276-1,True
7820233-1,True
7820199-1,True
7820120-1,True
7820216-1,True
7820082-1,True
7820269-1,True
7820237-1,True
7820286-1,True
7820322-1,True
7820278-1,True
7820052-1,True
7820055-1,True
7820041-1,True
7820125-1,True
7820145-1,True
7820144-1,True
7820306-1,True
7820045-1,True
7820025-1,True
7820135-1,True
7801230-1,True
7800566-1,True
7820329-1,True
7820328-1,True
7820270-1,True
7820213-1,True
7820106-1,True
7820327-1,True
7820326-1,True
7820035-2,True
7820162-1,True
,False
7820132-1,True
7820054-1,True
7820274-1,True
7820258-2,True
7820109-1,True
7820247-1,True
7820166-1,True
7800565-1,True
7820331-1,True
7820171-1,True
7820333-1,True
7820332-1,True
7820142-1,True
7820044-1,True
7820026-1,True
7820330-1,True
7820323-2,True
7820143-1,True
7820249-2,True
7820314-2,True
7801272-1,True
7820139-2,True
7820320-1,True
7820289-2,True
7820249-3,True
7820139-3,True
7820088-2,True
7801229-1,True
7820208-2,True
,True
7820336-1,True
7801276-1,True
7820337-1,True
7820334-1,True
7801275-1,True
7820335-1,True
7820271-1,True
7820338-1,True
7820339-1,True
8600001-1,True
7820341-1,True
7820342-1,True
7820341-2,True
7820340-1,True
7820207-2,True
7820343-1,True
7800431-1,True
144466,True
144360,True
7820088-1,False
7820063-1,False
7820165-1,False
7820014-1,False
7820064-1,False
7820028-1,False
7820068-1,False
7820187-1,False
7820020-1,False
7820085-2,False
7820177-1,False
7820036-1,False
7820186-1,False
7820027-1,False
7820015-1,False
7820155-1,False
7820219-1,False
7820059-1,False
7820218-1,False
7820201-1,False
7820178-1,False
7820243-1,False
7820061-1,False
7820156-1,False
7820217-1,False
7820277-1,False
7820242-1,False
7820126-1,False
7820067-1,False
7820200-1,False
7820276-1,False
7820164-1,False
7820161-1,False
7820076-1,False
7820174-1,False
7820255-1,False
7820095-1,False
7820013-1,False
7820319-1,False
7820008-1,False
7820072-1,False
7820003-1,False
7820062-1,False
7820130-1,False
7820070-1,False
7820232-1,False
7820223-1,False
7820078-1,False
7820295-1,False
7820045-1,False
7820184-1,False
7820318-1,False
7820330-1,False
7820012-1,False
7820094-1,False
7820257-1,False
7820233-1,False
7820321-1,False
7820066-1,False
7820141-1,False
7820170-1,False
7820208-1,False
7820169-1,False
7820140-1,False
7820002-1,False
7820315-1,False
7820322-1,False
7820189-1,False
7820198-1,False
7820333-1,False
7820323-1,False
7820317-1,False
7820131-1,False
7820284-1,False
7820073-1,False
7820009-1,False
7820316-1,False
7820272-1,False
7820004-1,False
7820079-1,False
7820065-1,False
7820294-1,False
7820116-1,False
7820180-1,False
7820324-1,False
7820331-1,False
7820025-1,False
7820179-1,False
7820224-1,False
7820283-1,False
7820273-1,False
7820075-1,False
7820314-1,False
7820117-1,False
7820024-1,False
7820162-1,False
7820120-1,False
7820216-1,False
7820325-1,False
7820136-1,False
7820085-1,False
7820048-1,False
7820104-1,False
7820205-1,False
7820112-1,False
7820262-1,False
7820080-1,False
7820057-1,False
7820035-1,False
7820264-1,False
7820220-1,False
7820089-1,False
7820238-1,False
7820158-1,False
7820250-1,False
7820261-1,False
7820111-1,False
7820204-1,False
7820137-1,False
7820139-1,False
7820049-1,False
7820060-1,False
7820103-1,False
7820251-1,False
7820157-1,False
7820055-1,False
7820081-1,False
7820021-1,False
7820083-1,False
7820139-3,False
7820007-1,False
