Stop_ID,Pre_2019,stop_lat,stop_lon,density
7820089-1,True,58.37751515,26.7285696,13
7820226-1,True,58.34868407,26.69763178,1
7820291-1,True,58.36201853,26.73063502,3
7820033-1,True,58.3584934,26.73078222,1
7820229-1,True,58.34859622,26.70417463,3
7820147-1,True,58.35016089,26.70712041,5
7820202-1,True,58.36396104,26.73642701,5
7820032-1,True,58.35907121,26.73088987,1
7820252-1,True,58.36558986,26.73448717,3
7820205-1,True,58.35464445,26.70747193,5
7820095-1,True,58.38002785,26.76387108,1
7820296-1,True,58.3772705,26.7018397,1
7820255-1,True,58.38070973,26.75491693,2
7820241-1,True,58.37662124,26.71457354,4
7820288-1,True,58.38621298,26.69472782,3
7820168-1,True,58.37888945,26.70789617,1
7820113-1,True,58.37595147,26.71043875,3
7820207-1,True,58.37374151,26.70719702,2
7820021-1,True,58.37566974,26.73304577,7
7820258-1,True,58.39311653,26.6873756,2
7820240-1,True,58.3765878,26.71491966,4
7820275-1,True,58.38885283,26.69438562,4
7820260-1,True,58.38161617,26.70271302,1
7820114-1,True,58.37598719,26.71031861,3
7820183-1,True,58.37553002,26.71803519,4
7820208-1,True,58.37397452,26.70682144,2
7820024-1,True,58.38360817,26.69132453,2
7820182-1,True,58.37396579,26.71940893,3
7820043-1,True,58.38294305,26.69658842,4
7820263-1,True,58.35414165,26.69607678,1
7820295-1,True,58.37684819,26.70266721,1
7820164-1,True,58.39330651,26.71804316,3
7820140-1,True,58.36960163,26.7017286,4
7820194-1,True,58.39633321,26.73244303,2
7820022-1,True,58.35536632,26.71967153,3
7820293-1,True,58.37909356,26.72727211,13
7820003-1,True,58.35484233,26.72295824,3
7820047-1,True,58.38350489,26.70964608,1
7820069-1,True,58.37677041,26.68359234,3
7820072-1,True,58.34913295,26.72340804,1
7820228-1,True,58.35565418,26.7272105,3
7820212-1,True,58.37272134,26.68578763,1
7820281-1,True,58.36662066,26.69478854,1
7820062-1,True,58.36669767,26.70364614,4
7820086-1,True,58.37154833,26.76651811,3
7820170-1,True,58.37480653,26.69735258,2
7820305-1,True,58.36972984,26.69080566,4
7820130-1,True,58.37713453,26.68889876,2
7820141-1,True,58.36995011,26.70165035,5
7820039-1,True,58.37677413,26.72686258,11
7820301-1,True,58.38666842,26.72685629,3
7820302-1,True,58.38578652,26.72639415,4
7820084-1,True,58.37690955,26.72650997,11
7820066-1,True,58.35838607,26.72194733,1
7820008-1,True,58.34784648,26.71726794,1
7820133-1,True,58.37078404,26.72155998,2
7820093-1,True,58.38253159,26.72806885,4
7820078-1,True,58.36571667,26.72151128,2
7820079-1,True,58.36479389,26.72116859,1
7820065-1,True,58.35917116,26.72136773,1
7820134-1,True,58.36942282,26.72152375,2
7820002-1,True,58.35470082,26.72279026,3
7820317-1,True,58.34525094,26.71488112,2
7820316-1,True,58.34537778,26.71461775,2
7820071-1,True,58.37700305,26.68379681,4
7820094-1,True,58.38014812,26.76384935,1
7820131-1,True,58.37675423,26.69035434,1
7820169-1,True,58.37486576,26.69707372,2
7820284-1,True,58.37241821,26.7000216,3
7820211-1,True,58.37308889,26.68539208,1
7820163-1,True,58.36643193,26.69527154,1
7820115-1,True,58.36657642,26.73624755,7
7820264-1,True,58.35415032,26.69707063,1
7820105-1,True,58.3856589,26.70055754,2
7820046-1,True,58.38373656,26.70858394,1
7820230-1,True,58.35583691,26.72892056,1
7820204-1,True,58.35467418,26.70708405,5
7820280-1,True,58.3613194,26.73476473,2
7820214-1,True,58.36735879,26.74069184,4
7820268-1,True,58.36406889,26.74007878,3
7820231-1,True,58.36864837,26.73432864,2
7820196-1,True,58.38113972,26.72480574,5
7820176-1,True,58.3836047,26.72339269,6
7820197-1,True,58.37974785,26.72576992,6
7820121-1,True,58.38329654,26.71874713,3
