route_id,service_id,trip_id,trip_headsign,trip_long_name,direction_code,shape_id,wheelchair_accessible
535c054371807b4c9f71a420a3deb8bf,135595,1256962,Antsla,Valga - Vilaski - Antsla,A>B,55213,0
8c1998ac519032bc29185c8430e48d30,135629,1872722,Võru bussijaam,Valga - Võru,B>A,59357,0
8c1998ac519032bc29185c8430e48d30,135629,1872721,Valga bussijaam,Võru - Valga,A>B,58666,0
4ec8c4901648c9238c29e63e3a207cba,135632,946701,Tõrva,Tartu - Tõrva,B>A,44425,0
4ec8c4901648c9238c29e63e3a207cba,135631,946700,Tartu bussijaam,Tõrva - Tartu,A>B,44424,0
bb08cbfa2fffb01e992306d2701a339e,135761,2086546,Valga bussijaam,Tartu-Otepää-Sangaste-Valga,B>A,52282,0
dc0aa9a2f40e5b5d53aabdc68d528444,135877,1841348,Haapsalu bussijaam,Tallinn - Risti - Pürksi - Haapsalu,A>B,57019,0
2c46bcdecfb7f690f2a82e0748faf9be,137245,1270493,Papissaare sadam,VILSANDI-PAPISSAARE,A>B,63332,0
2c46bcdecfb7f690f2a82e0748faf9be,137246,1270494,Papissaare sadam,VILSANDI-PAPISSAARE,A>B,63332,0
2c46bcdecfb7f690f2a82e0748faf9be,137247,1270495,Papissaare sadam,VILSANDI-PAPISSAARE,A>B,63332,0
5e95640b00c09357531b93b5aee8877a,138407,901618,Kilingi-Nõmme,Jäärja - Leipste - Kilingi-Nõmme,B>A,42074,0
5e95640b00c09357531b93b5aee8877a,138406,901615,Jäärja,Kilingi-Nõmme - Leipste - Jäärja,A>B,42076,0
5e95640b00c09357531b93b5aee8877a,138407,901617,Jäärja,Kilingi-Nõmme - Leipste - Jäärja,A>B,42076,0
5e95640b00c09357531b93b5aee8877a,138406,901616,Kilingi-Nõmme,Jäärja - Tihemetsa - Kilingi-Nõmme,B>C>A,42075,0
ccd06ea40003a299361d7bcd970c6c54,138587,1028464,Valga bussijaam,Lüllemäe - Vähero - Valga,A>C>B,47116,0
398ac13f85dea59ae2685d3d6d409927,138635,904579,Abja-Paluoja,Kilingi-Nõmme - Mõisaküla - Abja-Paluoja,A>B,42252,0
398ac13f85dea59ae2685d3d6d409927,138635,904580,Kilingi-Nõmme,Abja-Paluoja - Mõisaküla - Kilingi-Nõmme,B>A,42251,0
4283f924946ce4831791f2f2e523a1ca,139120,1788052,Puka,Otepää-Puka-Komsi-Aakre-Puka,B>C1>B,42303,0
d156b87e078e08525b3a6586ed8083c2,139129,1320414,Meriloo tee,Priipalu - Tsirguliina kool - Keeni kool - Liive - Priipalu,A>C>A,57726,0
d156b87e078e08525b3a6586ed8083c2,139130,1320415,Meriloo tee,Priipalu - Tsirguliina kool - Keeni kool - Liive - Priipalu,A>B>A,56907,0
5cb223e7935b5694de70621be42b1e03,139262,1583667,Valga bussijaam,Lüllemäe - Valga bussijaam,A>C2>B,47138,0
f1097dcb23c511ceee9f89f3fef0b993,139267,995443,Antsla,Lüllemäe - Antsla,A>B,42358,0
f1097dcb23c511ceee9f89f3fef0b993,139268,1827314,Lüllemäe,Lüllemäe - Valga - Lüllemäe,A>B>A,47029,0
661222d5eb9a1287b9613236729eee4f,139917,1319827,Valga bussijaam,Otepää - Vidrike - Sangaste - Valga,B>C1>A,57694,0
b4c5c0d01f6e3d5b5d2ba2ef83fd5034,141068,916851,Kesklinn I,Lõunakeskuse ekspress (kesklinna),A>B,55270,0
b4c5c0d01f6e3d5b5d2ba2ef83fd5034,141068,916852,Kesklinn I,Lõunakeskuse ekspress (kesklinna),A>B,55270,0
b4c5c0d01f6e3d5b5d2ba2ef83fd5034,141068,916853,Kesklinn I,Lõunakeskuse ekspress (kesklinna),A>B,55270,0
b4c5c0d01f6e3d5b5d2ba2ef83fd5034,141068,916854,Kesklinn I,Lõunakeskuse ekspress (kesklinna),A>B,55270,0
b4c5c0d01f6e3d5b5d2ba2ef83fd5034,141068,916855,Kesklinn I,Lõunakeskuse ekspress (kesklinna),A>B,55270,0
b4c5c0d01f6e3d5b5d2ba2ef83fd5034,141068,916856,Kesklinn I,Lõunakeskuse ekspress (kesklinna),A>B,55270,0
b4c5c0d01f6e3d5b5d2ba2ef83fd5034,141068,916857,Kesklinn I,Lõunakeskuse ekspress (kesklinna),A>B,55270,0
b4c5c0d01f6e3d5b5d2ba2ef83fd5034,141068,916858,Kesklinn I,Lõunakeskuse ekspress (kesklinna),A>B,55270,0
b4c5c0d01f6e3d5b5d2ba2ef83fd5034,141068,916859,Kesklinn I,Lõunakeskuse ekspress (kesklinna),A>B,55270,0
b4c5c0d01f6e3d5b5d2ba2ef83fd5034,141068,916860,Kesklinn I,Lõunakeskuse ekspress (kesklinna),A>B,55270,0
b4c5c0d01f6e3d5b5d2ba2ef83fd5034,141068,916861,Kesklinn I,Lõunakeskuse ekspress (kesklinna),A>B,55270,0
b4c5c0d01f6e3d5b5d2ba2ef83fd5034,141068,916862,Kesklinn I,Lõunakeskuse ekspress (kesklinna),A>B,55270,0
b4c5c0d01f6e3d5b5d2ba2ef83fd5034,141068,916863,Kesklinn I,Lõunakeskuse ekspress (kesklinna),A>B,55270,0
b4c5c0d01f6e3d5b5d2ba2ef83fd5034,141068,916864,Kesklinn I,Lõunakeskuse ekspress (kesklinna),A>B,55270,0
b4c5c0d01f6e3d5b5d2ba2ef83fd5034,141068,916865,Kesklinn I,Lõunakeskuse ekspress (kesklinna),A>B,55270,0
e553678f0c8dd99122add9cdd922eff1,141772,1633985,Pärnu bussijaam,Uulu Kalmistu - Pärnu,B>A,46190,0
e553678f0c8dd99122add9cdd922eff1,141772,1633984,Uulu kalmistu,Pärnu - Uulu Kalmistu,A>B,46189,0
15a2a0f9142bf2c1dd2eb78957ec2c99,142345,1771466,Tõrva,Tõrva - Pokardi - Tõrva,A>B,43346,0
22dc2eb1ec20c84b80d0cf6097d40062,142361,1197474,Valga bussijaam,Otepää - Vidrike - Sangaste - Valga,B>A,52279,0
22dc2eb1ec20c84b80d0cf6097d40062,142360,1197473,Otepää,Valga - Sooru keskus - Sangaste - Vidrike - Otepää,A>C1>B,52280,0
9878763abe787d9b0c08ebc097ab92fc,142362,1942384,Valga bussijaam,Tõrva - Taagepera -  Valga bussijaam,A>C1>B,46260,0
